"user","datetime","stage_duration","stage"
"AOYM4KG","2023-07-04 20:15:30.000",516,"asleep"
"AOYM4KG","2023-07-04 21:41:30.000",12,"restless"
"AOYM4KG","2023-07-04 21:43:30.000",12,"asleep"
"AOYM4KG","2023-07-04 21:45:30.000",6,"restless"
"AOYM4KG","2023-07-04 21:46:30.000",216,"asleep"
"AOYM4KG","2023-07-04 22:22:30.000",24,"restless"
"AOYM4KG","2023-07-04 22:26:30.000",54,"asleep"
"AOYM4KG","2023-07-04 22:35:30.000",6,"restless"
"AOYM4KG","2023-07-04 22:36:30.000",48,"asleep"
"AOYM4KG","2023-07-04 22:44:30.000",24,"restless"
"AOYM4KG","2023-07-04 22:48:30.000",12,"awake"
"AOYM4KG","2023-07-04 22:50:30.000",6,"restless"
"AOYM4KG","2023-07-04 22:51:30.000",138,"asleep"
"AOYM4KG","2023-07-04 23:14:30.000",6,"restless"
"AOYM4KG","2023-07-04 23:15:30.000",294,"asleep"
"AOYM4KG","2023-07-05 00:04:30.000",12,"restless"
"AOYM4KG","2023-07-05 00:06:30.000",12,"asleep"
"AOYM4KG","2023-07-05 00:08:30.000",6,"restless"
"AOYM4KG","2023-07-05 00:09:30.000",156,"asleep"
"AOYM4KG","2023-07-05 00:35:30.000",12,"restless"
"AOYM4KG","2023-07-05 00:37:30.000",450,"asleep"
"AOYM4KG","2023-07-05 01:52:30.000",6,"restless"
"AOYM4KG","2023-07-05 01:53:30.000",18,"asleep"
"AOYM4KG","2023-07-05 01:56:30.000",6,"restless"
"AOYM4KG","2023-07-05 01:57:30.000",312,"asleep"
"AOYM4KG","2023-07-05 02:49:30.000",60,"restless"
"AOYM4KG","2023-07-05 02:59:30.000",6,"awake"
"AOYM4KG","2023-07-05 03:00:30.000",168,"asleep"
"AOYM4KG","2023-07-05 03:28:30.000",18,"restless"
"AOYM4KG","2023-07-05 03:31:30.000",72,"awake"
"AOYM4KG","2023-07-05 03:43:30.000",66,"restless"
"AOYM4KG","2023-07-05 03:54:30.000",12,"awake"
"AOYM4KG","2023-07-05 03:56:30.000",18,"restless"
"AOYM4KG","2023-07-05 03:59:30.000",18,"asleep"
"AOYM4KG","2023-07-05 04:02:30.000",6,"restless"
"AOYM4KG","2023-07-05 04:03:30.000",66,"asleep"
"AOYM4KG","2023-07-05 04:14:30.000",6,"restless"
"AOYM4KG","2023-07-05 04:15:30.000",24,"asleep"
"AOYM4KG","2023-07-05 04:19:30.000",6,"restless"
"AOYM4KG","2023-07-05 04:20:30.000",6,"asleep"
"AOYM4KG","2023-07-05 04:21:30.000",36,"restless"
"AOYM4KG","2023-07-05 04:27:30.000",6,"asleep"
"AOYM4KG","2023-07-05 04:28:30.000",6,"restless"
"AOYM4KG","2023-07-05 04:29:30.000",30,"asleep"
"AOYM4KG","2023-07-05 04:34:30.000",6,"restless"
"AOYM4KG","2023-07-05 04:35:30.000",270,"asleep"
"AOYM4KG","2023-07-05 05:20:30.000",6,"restless"
"AOYM4KG","2023-07-05 05:21:30.000",18,"asleep"
"AOYM4KG","2023-07-05 05:24:30.000",18,"restless"
"AOYM4KG","2023-07-05 05:27:30.000",18,"asleep"
"AOYM4KG","2023-07-05 05:30:30.000",6,"restless"
"AOYM4KG","2023-07-05 05:31:30.000",12,"asleep"
"AOYM4KG","2023-07-05 05:33:30.000",30,"restless"
"AOYM4KG","2023-07-05 20:09:00.000",6,"restless"
"AOYM4KG","2023-07-05 20:10:00.000",12,"awake"
"AOYM4KG","2023-07-05 20:12:00.000",6,"restless"
"AOYM4KG","2023-07-05 20:13:00.000",24,"awake"
"AOYM4KG","2023-07-05 20:17:00.000",12,"restless"
"AOYM4KG","2023-07-05 20:19:00.000",366,"asleep"
"AOYM4KG","2023-07-05 21:20:00.000",12,"restless"
"AOYM4KG","2023-07-05 21:22:00.000",264,"asleep"
"AOYM4KG","2023-07-05 22:06:00.000",6,"restless"
"AOYM4KG","2023-07-05 22:07:00.000",180,"asleep"
"AOYM4KG","2023-07-05 22:37:00.000",6,"restless"
"AOYM4KG","2023-07-05 22:38:00.000",6,"asleep"
"AOYM4KG","2023-07-05 22:39:00.000",12,"restless"
"AOYM4KG","2023-07-05 22:41:00.000",6,"awake"
"AOYM4KG","2023-07-05 22:42:00.000",6,"restless"
"AOYM4KG","2023-07-05 22:43:00.000",6,"awake"
"AOYM4KG","2023-07-05 22:44:00.000",378,"asleep"
"AOYM4KG","2023-07-05 23:47:00.000",6,"restless"
"AOYM4KG","2023-07-05 23:48:00.000",18,"asleep"
"AOYM4KG","2023-07-05 23:51:00.000",6,"restless"
"AOYM4KG","2023-07-05 23:52:00.000",576,"asleep"
"AOYM4KG","2023-07-06 01:28:00.000",6,"restless"
